Indicator,Vehicle Actvity Number,Company Code,Fiscal Year,Reverse Date,Vehicle Code,Job Code,Target Alokasi Biaya,Location Code,Vehicle Date,Vehicle Time,HM/KM,Unit,UoM,Reference,Remarks,Plant,Cancelled/Reversed,Operator,Helper 1,Helper 2,Measurement document,Document Number,Nomor SPBS,Tgl Angkut,Antar Kebun,Destination Plant,Created by,Created on,Changed by,Changed on
,0100282010,PALM,2026,6/1/2026,2000021305,14802,FF,202,6/1/2026,10.57.00,31.00,"5,370",KG,1,Angkut TBS Afd 2,5E01,,0,0,0,10209467,2321196427,TBS,6/1/2026,,,MK011504,6/3/2026,MK011504,6/3/2026
,0100282011,PALM,2026,6/1/2026,2000021305,14802,FF,307,6/1/2026,15.30.00,33.00,"7,050",KG,1,Angkut TBS Afd 3,5E01,,0,0,0,10209468,2321196428,TBS,6/1/2026,,,MK011504,6/3/2026,MK011504,6/3/2026
,0100282012,PALM,2026,6/2/2026,2000021305,14802,FF,703,6/2/2026,16.11.00,48.00,"6,520",KG,1,Angkut TBS Afd 7,5E01,,0,0,0,10251052,2322424052,TBS,6/2/2026,,,MK011504,6/3/2026,MK011504,6/20/2026
,0100282060,PALM,2026,6/3/2026,2000021502,14803,FF,210,6/3/2026,11.00.00,6.00,"10,010",KG,Langsir TBS,Langsir TBS AFD 2,5E03,,13004998,0,0,10209787,2321230369,TBS/01/02SD/VI/2026,6/3/2026,,,MK031503,6/3/2026,MK031503,6/3/2026
,0100282061,PALM,2026,6/1/2026,2000021328,14802,FF,112,6/1/2026,13.09.42,79.00,"5,910",KG,ANGKUT TBS,ANGKUT TBS AFD I,5E03,,13003266,0,0,10209458,2321230350,PALM5F04126060100000039,6/1/2026,,,MK031503,6/3/2026,MK031503,6/3/2026
,0100282062,PALM,2026,6/2/2026,2000021328,14505,FF,733,6/2/2026,06.00.00,14.00,"3,236",KG,ANGKUT PUPUK,ANGKUT PUPUK AFD VII,5E03,,13003266,0,0,10209773,2321230355,,6/2/2026,,,MK031503,6/3/2026,MK031503,6/3/2026
,0100282063,PALM,2026,6/2/2026,2000021328,14802,FF,111,6/2/2026,11.51.24,43.00,"5,730",KG,ANGKUT TBS,ANGKUT TBS AFD I,5E03,,13003266,0,0,10209774,2321230356,PALM5F04126060200000044,6/2/2026,,,MK031503,6/3/2026,MK031503,6/3/2026
,0100282064,PALM,2026,6/2/2026,2000021328,14802,FF,104,6/2/2026,17.00.28,45.00,"7,140",KG,ANGKUT TBS,ANGKUT TBS AFD I,5E03,,13003266,0,0,10209775,2321230357,PALM5F04126060200000108,6/2/2026,,,MK031503,6/3/2026,MK031503,6/3/2026
,0100282065,PALM,2026,6/3/2026,2000021328,14802,FF,105,6/3/2026,12.27.06,40.00,"5,280",KG,ANGKUT TBS,ANGKUT TBS AFD I,5E03,,13003266,0,0,10209788,2321230370,PALM5F04126060300000045,6/3/2026,,,MK031503,6/3/2026,MK031503,6/3/2026
,0100282066,PALM,2026,6/3/2026,2000021328,14802,FF,117,6/3/2026,18.39.19,43.00,"6,080",KG,ANGKUT TBS,ANGKUT TBS AFD I,5E03,,13003266,0,0,10209789,2321230371,PALM5F04126060300000124,6/3/2026,,,MK031503,6/3/2026,MK031503,6/3/2026
,0100282067,PALM,2026,6/2/2026,2000022818,,CC,5E03BT15KS,6/2/2026,07.35.00,35.00,0,,,MELAYANI MANAJER KELILING,5E03,,13004968,0,0,10209776,2321230358,,6/2/2026,,,MK031503,6/3/2026,MK031503,6/3/2026
,0100282068,PALM,2026,6/2/2026,2000014388,,CC,5E03BT15KS,6/2/2026,09.19.00,21.00,0,,,MELAYANI ANGGOTA TEKNIK P,5E03,,13007043,0,0,10209777,2321230359,,5/1/2026,,,MK031503,6/3/2026,MK031503,6/3/2026
,0100282069,PALM,2026,6/3/2026,2000014388,,CC,5E03BT15KS,6/3/2026,09.35.00,11.00,0,,,MELAYANI ANGGOTA TEKNIK P,5E03,,13007043,0,0,10209790,2321230372,,5/7/2026,,,MK031503,6/3/2026,MK031503,6/3/2026
,0100282070,PALM,2026,6/1/2026,2000021327,14802,FF,318,6/1/2026,14.17.36,33.00,"5,910",KG,ANGKUT TBS,ANGKUT TBS AFD III,5E03,,13004965,0,0,10209459,2321230351,PALM5F04126060100000051,6/1/2026,,,MK031503,6/3/2026,MK031503,6/3/2026
,0100282071,PALM,2026,6/1/2026,2000021327,14802,FF,116,6/1/2026,17.46.51,34.00,"5,860",KG,ANGKUT TBS,ANGKUT TBS AFD I,5E03,,13004965,0,0,10209460,2321230352,PALM5F04126060100000096,6/1/2026,,,MK031503,6/3/2026,MK031503,6/3/2026
,0100282072,PALM,2026,6/2/2026,2000021327,14802,FF,332,6/2/2026,11.15.47,41.00,"6,080",KG,ANGKUT TBS,ANGKUT TBS AFD III,5E03,,13004965,0,0,10209778,2321230360,PALM5F04126060200000038,6/2/2026,,,MK031503,6/3/2026,MK031503,6/3/2026
,0100282073,PALM,2026,6/2/2026,2000021327,14802,FF,112,6/2/2026,15.54.14,41.00,"6,050",KG,ANGKUT TBS,ANGKUT TBS AFD I,5E03,,13004965,0,0,10209779,2321230361,PALM5F04126060200000091,6/2/2026,,,MK031503,6/3/2026,MK031503,6/3/2026
,0100282074,PALM,2026,6/2/2026,2000021327,14802,FF,110,6/2/2026,19.02.17,39.00,"4,830",KG,ANGKUT TBS,ANGKUT TBS AFD I,5E03,,13004965,0,0,10209780,2321230362,PALM5F04126060200000124,6/2/2026,,,MK031503,6/3/2026,MK031503,6/3/2026
,0100282075,PALM,2026,6/2/2026,2000021319,,CC,5E03BT15KS,6/2/2026,05.26.00,48.00,0,,,ANTAR JEMPUT ANAK SEKOLAH,5E03,,13005011,0,0,10209781,2321230363,,6/2/2026,,,MK031503,6/3/2026,MK031503,6/3/2026
,0100282076,PALM,2026,6/2/2026,2000021319,,CC,5E03BT15KS,6/2/2026,08.20.00,16.00,0,,,ANTAR PATOK GREEN BELT KE,5E03,,13005011,0,0,10209782,2321230364,,6/2/2026,,,MK031503,6/3/2026,MK031503,6/3/2026
