 ,,,,,,,,,,,,,,,
REKAPITULIASI BA EQUIPMENT,,,,,,,,,,,,,,,
PER 30 DES 2024,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
MENURUT BA EQUIPMENT,,,,,,,,,,168,,,,,
NO,UNIT/KERJA,NAMA EQUIPMENT,NOMOR EQUIPMENT,REVISI COST CENTER,Ket CC,Ket VHC,STATUS KENDARAAN,KEPEMILIKAN,Total,,,NO,UNIT,CODE,VHC
,,Road Grader 1,2000014789,5E08GRA001,,Aktif,Rusak,Inventaris,,GRA,5E08,,,,
,,Honda CRF 150L KB 4962 XE,2000022570,5E08MOT001,,Aktif,Baik,Sewa,,,5E08,,,,
,,Honda CRF 150L KB 4963 XE,2000022571,5E08MOT002,,Aktif,Baik,Sewa,,MOT,5E08,,,,
,,Quick Truck 1,2000014916,5E08QUT001,,Aktif,Baik,Sewa,,QUT,5E08,,,,
,,Quick Truck 3,2000021513,5E08QUT003,,Aktif,Baik,Inventaris,,QUT,5E08,,,,
,,Quick Truck 4,2000021514,5E08QUT004,,Aktif,Baik,Sewa,,QUT,5E08,,,,
,,Quick Truck 5,2000021515,5E08QUT005,Mati,Tidak Ada BA,Baik,Sewa,,QUT,5E08,,,,
,,MOWER,2000015128,5E08TRA001,Mati,Aktif,Baik,Inventaris,,TRA,5E08,,,,
,,Mobil Manager KB 8110 DM,2000022909,5E08CAR004,BK 8711 JF berubah KB 8110 DM,Aktif,Baik,Sewa,,CAR,5E08,,,,
,,Dump Truck KB 8168 WD,2000021346,5E08DTR09,,Aktif,Baik,Sewa,,,,,,,
,,Dump Truck KB 8275 WD,2000021347,5E08DTR010,,Aktif,Baik,Sewa,,,,,,,
,,Quick Truck 1,2000023455,5E08QUT007,,Aktif,Baik,Sewa,,,,,,,
,,Quick Truck 5,2000023456,5E08QUT008,,Aktif,Baik,Sewa,,,,,,,
6,Kembayan,Mobil Manajer KT 8987 YH,2000014413,5E09CAR001,Mati,Tidak Ada BA,Baik,Sewa,,,5E09,,,,
,Kembayan,Vibrator Roller 1,2000014807,5E09COM001,,Aktif,Baik,Inventaris,,COM,5E09,,,,
,,Dump Truck KB 8973 AU,2000021352,5E09DTR005,Mati,Tidak Ada BA,Baik,Sewa,,,5E09,,,,
,,Dump Truck KB 8718 AW,2000021353,5E09DTR006,,Aktif,Baik,Sewa,,DTR,5E09,,,,
,,Road Grader 1 ,2000014790,5E09GRA001,Mati,Aktif,Rusak,Inventaris,,GRA,5E09,,,,
,,Quick Truck 1,2000014933,5E09QUT001,Mati,Aktif,Rusak,Inventaris,,QUT,5E09,,,,
,,MOWER,2000015133,5E09TRA001,Mati,Aktif,Perbaikan,Inventaris,,TRA,5E09,,,,
,,Mobil Manager KB 8113 DM,2000014414,5E09CAR002,BK 1870 JF berubah KB 8113 DM,Aktif,Baik,Sewa,,CAR,5E09,,,,
,,Truck Tangki KB 8059 AZ,2000021354,5E09DTR007,,Aktif,Baik,Sewa,,DTR,5E09,,,,
,,Dump Truck KB 8053 WD,2000021355,5E09DTR008,,Aktif,Baik,Sewa,,,,,,,
